Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201601,278,35980, ,Norwich-New London  CT ,4,4,698,0,0,0,0,0,0,0,0,0,2,2,367,0,0,0,0,0,0,0,0,0
201601,280,25860, ,Hickory-Lenoir-Morganton  NC ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,284,26300, ,Hot Springs  AR ,2,2,650,0,0,0,0,0,0,0,0,0,2,2,650,0,0,0,0,0,0,0,0,0
201601,288,26420, ,Houston-The Woodlands-Sugar Land  TX ,2617,2617,506286,2,4,140,0,0,0,5,305,53314,1877,1877,408564,1,2,70,0,0,0,2,264,51012
201601,290,19460, ,Decatur  AL ,22,22,4084,2,4,440,0,0,0,0,0,0,22,22,4084,2,4,440,0,0,0,0,0,0
201601,290,26620,C,Huntsville  AL ,178,178,25881,0,0,0,0,0,0,9,60,4970,178,178,25881,0,0,0,0,0,0,9,60,4970
201601,292,26820, ,Idaho Falls  ID ,30,30,4895,0,0,0,0,0,0,0,0,0,30,30,4895,0,0,0,0,0,0,0,0,0
201601,294,18020, ,Columbus  IN ,14,14,3439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,294,26900, ,Indianapolis-Carmel-Anderson  IN ,333,333,95284,7,14,1548,0,0,0,9,111,9482,327,327,94309,7,14,1548,0,0,0,9,111,9482
201601,294,34620, ,Muncie  IN ,1,1,58,0,0,0,0,0,0,0,0,0,1,1,58,0,0,0,0,0,0,0,0,0
201601,296,27060, ,Ithaca  NY ,1,1,250,1,2,337,0,0,0,0,0,0,1,1,250,1,2,337,0,0,0,0,0,0
201601,297,27180, ,Jackson  TN ,6,6,2180,0,0,0,0,0,0,0,0,0,6,6,2180,0,0,0,0,0,0,0,0,0
201601,298,27140, ,Jackson  MS ,147,147,30694,0,0,0,0,0,0,0,0,0,89,89,20263,0,0,0,0,0,0,0,0,0
201601,300,27260,C,Jacksonville  FL ,635,635,158833,0,0,0,1,4,732,1,24,2274,628,628,156967,0,0,0,1,4,732,1,24,2274
201601,304,27740, ,Johnson City  TN ,11,11,3955,0,0,0,0,0,0,0,0,0,11,11,3955,0,0,0,0,0,0,0,0,0
201601,304,28700, ,Kingsport-Bristol-Bristol  TN-VA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,306,27780, ,Johnstown  PA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,308,27860, ,Jonesboro  AR ,27,27,4285,2,4,233,1,4,169,1,12,290,1,1,140,0,0,0,0,0,0,0,0,0
201601,309,27900, ,Joplin  MO ,14,14,1841,1,2,181,0,0,0,0,0,0,14,14,1841,1,2,181,0,0,0,0,0,0
201601,310,12980, ,Battle Creek  MI ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,310,28020, ,Kalamazoo-Portage  MI ,9,9,2772,0,0,0,0,0,0,0,0,0,9,9,2772,0,0,0,0,0,0,0,0,0
201601,312,28140, ,Kansas City  MO-KS ,255,255,69874,3,6,465,6,22,1820,6,243,25193,225,225,62659,3,6,465,5,19,1378,6,243,25193
201601,312,29940, ,Lawrence  KS ,6,6,1611,0,0,0,0,0,0,0,0,0,6,6,1611,0,0,0,0,0,0,0,0,0
201601,312,41140, ,St. Joseph  MO-KS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,314,28940, ,Knoxville  TN ,157,157,29334,0,0,0,0,0,0,1,19,1250,134,134,24822,0,0,0,0,0,0,0,0,0
201601,316,29020, ,Kokomo  IN ,5,5,620,0,0,0,0,0,0,0,0,0,5,5,620,0,0,0,0,0,0,0,0,0
201601,318,29180, ,Lafayette  LA ,159,159,26217,0,0,0,0,0,0,0,0,0,106,106,16234,0,0,0,0,0,0,0,0,0
201601,320,29200, ,Lafayette-West Lafayette  IN ,25,25,5477,0,0,0,0,0,0,2,13,1099,1,1,450,0,0,0,0,0,0,0,0,0
201601,324,29340, ,Lake Charles  LA ,53,53,11343,2,4,267,0,0,0,0,0,0,26,26,5652,2,4,267,0,0,0,0,0,0
201601,330,29620, ,Lansing-East Lansing  MI ,11,11,3051,0,0,0,0,0,0,1,17,4024,10,10,2907,0,0,0,0,0,0,0,0,0
201601,332,29420, ,Lake Havasu City-Kingman  AZ ,47,47,10119,1,2,290,0,0,0,0,0,0,47,47,10119,1,2,290,0,0,0,0,0,0
201601,332,29820,C,Las Vegas-Henderson-Paradise  NV ,511,511,100510,0,0,0,5,15,989,13,399,30781,511,511,100510,0,0,0,5,15,989,13,399,30781
201601,336,30460,C,Lexington-Fayette  KY ,94,94,16973,2,4,604,1,3,378,2,37,2207,29,29,7465,0,0,0,0,0,0,0,0,0
201601,338,30620, ,Lima  OH ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,339,30700, ,Lincoln  NE ,50,50,10167,1,2,200,0,0,0,1,69,6485,1,1,317,0,0,0,0,0,0,0,0,0
201601,340,30780, ,Little Rock-North Little Rock-Conway  AR ,111,111,20615,2,4,1868,0,0,0,3,78,2802,92,92,18486,2,4,1868,0,0,0,3,78,2802
201601,340,38220, ,Pine Bluff  AR ,2,2,272,0,0,0,0,0,0,0,0,0,1,1,150,0,0,0,0,0,0,0,0,0
201601,346,30980, ,Longview  TX ,13,13,2367,1,2,126,0,0,0,1,5,403,0,0,0,0,0,0,0,0,0,0,0,0
