01 16 Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
01 16 Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
01 16  
06 16 201606,34,013,1,2,Essex County                  ,42,42,5987353,1,2,134000,1,3,10800000,12,263,20901319,5,5,2600000,1,2,134000,1,3,10800000,2,126,11488050
06 16 201606,34,015,1,2,Gloucester County             ,33,33,3708402,0,0,0,0,0,0,0,0,0,18,18,2195373,0,0,0,0,0,0,0,0,0
06 16 201606,34,017,1,2,Hudson County                 ,12,12,1252376,3,6,510000,2,6,452922,7,454,114933719,6,6,450530,3,6,510000,0,0,0,4,390,109881408
06 16 201606,34,019,1,2,Hunterdon County              ,11,11,1996687,0,0,0,0,0,0,11,99,6618498,5,5,733000,0,0,0,0,0,0,8,84,5888500
06 16 201606,34,021,1,2,Mercer County                 ,23,23,7581678,0,0,0,0,0,0,1,5,21500,21,21,6873394,0,0,0,0,0,0,1,5,21500
06 16 201606,34,023,1,2,Middlesex County              ,86,86,20939661,0,0,0,0,0,0,7,88,5003367,72,72,19282856,0,0,0,0,0,0,3,57,3023000
06 16 201606,34,025,1,2,Monmouth County               ,79,79,24762651,2,4,357271,2,6,669500,1,5,559073,53,53,19367192,0,0,0,2,6,669500,0,0,0
06 16 201606,34,027,1,2,Morris County                 ,68,68,19021218,0,0,0,1,4,31500,6,66,2168458,34,34,10060165,0,0,0,1,4,31500,1,5,1000
06 16 201606,34,029,1,2,Ocean County                  ,121,121,27105669,1,2,250000,0,0,0,0,0,0,109,109,24792567,1,2,250000,0,0,0,0,0,0
06 16 201606,34,031,1,2,Passaic County                ,6,6,757755,1,2,242600,0,0,0,2,61,11809198,4,4,412750,1,2,242600,0,0,0,1,51,10685000
06 16 201606,34,033,1,2,Salem County                  ,3,3,438842,0,0,0,0,0,0,0,0,0,1,1,250000,0,0,0,0,0,0,0,0,0
06 16 201606,34,035,1,2,Somerset County               ,23,23,3538233,1,2,166500,0,0,0,4,49,2497080,8,8,1504656,0,0,0,0,0,0,1,16,800000
06 16 201606,34,037,1,2,Sussex County                 ,13,13,3624453,0,0,0,0,0,0,0,0,0,3,3,1370392,0,0,0,0,0,0,0,0,0
06 16 201606,34,039,1,2,Union County                  ,36,36,7357766,4,8,570589,0,0,0,6,85,4545781,22,22,5413800,0,0,0,0,0,0,2,44,2761200
06 16 201606,34,041,1,2,Warren County                 ,12,12,2084094,0,0,0,0,0,0,2,10,431787,2,2,461600,0,0,0,0,0,0,0,0,0
06 16 201606,35,000,4,8,New Mexico Balance of State   ,33,33,9025818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,001,4,8,Bernalillo County             ,120,120,25911542,1,2,262100,0,0,0,0,0,0,120,120,25911542,1,2,262100,0,0,0,0,0,0
06 16 201606,35,005,4,8,Chaves County                 ,10,10,1618246,0,0,0,0,0,0,0,0,0,7,7,1008678,0,0,0,0,0,0,0,0,0
06 16 201606,35,007,4,8,Colfax County                 ,2,2,707989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,009,4,8,Curry County                  ,3,3,768299,0,0,0,0,0,0,0,0,0,3,3,768299,0,0,0,0,0,0,0,0,0
06 16 201606,35,013,4,8,Dona Ana County               ,65,65,12526717,1,2,313896,1,4,707143,0,0,0,22,22,4384754,0,0,0,0,0,0,0,0,0
06 16 201606,35,015,4,8,Eddy County                   ,10,10,1726879,0,0,0,0,0,0,0,0,0,10,10,1726879,0,0,0,0,0,0,0,0,0
06 16 201606,35,017,4,8,Grant County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,025,4,8,Lea County                    ,56,56,10742825,0,0,0,0,0,0,0,0,0,56,56,10742825,0,0,0,0,0,0,0,0,0
06 16 201606,35,027,4,8,Lincoln County                ,7,7,1760888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,028,4,8,Los Alamos County             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,029,4,8,Luna County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,031,4,8,McKinley County               ,1,1,312000,0,0,0,0,0,0,0,0,0,1,1,312000,0,0,0,0,0,0,0,0,0
06 16 201606,35,035,4,8,Otero County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,041,4,8,Roosevelt County              ,3,3,389750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,043,4,8,Sandoval County               ,93,93,18265082,0,0,0,1,4,335413,1,5,208333,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,045,4,8,San Juan County               ,11,11,2406393,0,0,0,0,0,0,0,0,0,4,4,818009,0,0,0,0,0,0,0,0,0
06 16 201606,35,047,4,8,San Miguel County             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,049,4,8,Santa Fe County               ,13,13,3146836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,051,4,8,Sierra County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,053,4,8,Socorro County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,055,4,8,Taos County                   ,8,8,877246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,35,061,4,8,Valencia County               ,10,10,1084120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,36,001,1,2,Albany County                 ,25,25,5517691,0,0,0,4,16,930000,4,66,7665739,22,22,4958018,0,0,0,4,16,930000,3,52,5369030
06 16 201606,36,005,1,2,Bronx County                  ,0,0,0,4,8,1062894,0,0,0,7,360,48573720,0,0,0,4,8,1062894,0,0,0,7,360,48573720
06 16 201606,36,029,1,2,Erie County                   ,57,57,14905363,1,2,385020,1,3,160000,6,75,9055768,29,29,8028257,1,2,385020,1,3,160000,4,44,5460000
06 16 201606,36,047,1,2,Kings County                  ,16,16,4188088,2,4,531447,5,16,2068608,18,468,63145836,16,16,4188088,2,4,531447,5,16,2068608,18,468,63145836
06 16 201606,36,051,1,2,Livingston County             ,6,6,1087877,0,0,0,0,0,0,0,0,0,2,2,268000,0,0,0,0,0,0,0,0,0
06 16 201606,36,055,1,2,Monroe County                 ,71,71,16288526,0,0,0,3,12,1620000,6,142,9262290,61,61,15298300,0,0,0,3,12,1620000,4,117,6408250
06 16 201606,36,059,1,2,Nassau County                 ,51,51,38071723,0,0,0,2,8,4507200,5,37,13185076,28,28,27468556,0,0,0,2,8,4507200,2,17,10291000
06 16 201606,36,061,1,2,New York County               ,0,0,0,0,0,0,1,3,387864,4,338,45605326,0,0,0,0,0,0,1,3,387864,4,338,45605326
06 16 201606,36,063,1,2,Niagara County                ,18,18,4821456,0,0,0,0,0,0,0,0,0,16,16,4449718,0,0,0,0,0,0,0,0,0
06 16 201606,36,069,1,2,Ontario County                ,41,41,9593985,0,0,0,0,0,0,1,5,582645,17,17,4155000,0,0,0,0,0,0,0,0,0
06 16 201606,36,073,1,2,Orleans County                ,2,2,280000,0,0,0,0,0,0,0,0,0,2,2,280000,0,0,0,0,0,0,0,0,0
06 16 201606,36,079,1,2,Putnam County                 ,2,2,543602,0,0,0,0,0,0,0,0,0,1,1,305000,0,0,0,0,0,0,0,0,0
06 16 201606,36,081,1,2,Queens County                 ,19,19,4973354,12,24,3188681,2,6,775728,8,383,51677041,19,19,4973354,12,24,3188681,2,6,775728,8,383,51677041
06 16 201606,36,083,1,2,Rensselaer County             ,15,15,2795333,0,0,0,0,0,0,1,5,238636,7,7,1390000,0,0,0,0,0,0,0,0,0
06 16 201606,36,085,1,2,Richmond County               ,26,26,6805643,16,32,4251574,0,0,0,2,167,22532809,26,26,6805643,16,32,4251574,0,0,0,2,167,22532809
06 16 201606,36,087,1,2,Rockland County               ,9,9,2200711,2,4,617351,2,6,658763,2,10,1202382,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,36,091,1,2,Saratoga County               ,74,74,22029208,4,8,1062894,2,6,775728,4,26,6143091,60,60,18585188,4,8,1062894,2,6,775728,2,16,5200000
06 16 201606,36,093,1,2,Schenectady County            ,5,5,777410,0,0,0,0,0,0,2,209,16483333,3,3,355000,0,0,0,0,0,0,1,204,15833333
06 16 201606,36,095,1,2,Schoharie County              ,4,4,708667,0,0,0,0,0,0,0,0,0,3,3,592000,0,0,0,0,0,0,0,0,0
06 16 201606,36,099,1,2,Seneca County                 ,3,3,391000,0,0,0,0,0,0,0,0,0,3,3,391000,0,0,0,0,0,0,0,0,0
06 16 201606,36,117,1,2,Wayne County                  ,11,11,2350279,1,2,125000,0,0,0,0,0,0,10,10,2126946,1,2,125000,0,0,0,0,0,0
06 16 201606,36,119,1,2,Westchester County            ,29,29,14192553,3,6,948074,0,0,0,4,102,25495929,20,20,10724262,0,0,0,0,0,0,3,91,22258300
06 16 201606,37,007,3,5,Anson County                  ,3,3,449595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,37,011,3,5,Avery County                  ,10,10,3531000,0,0,0,0,0,0,0,0,0,10,10,3531000,0,0,0,0,0,0,0,0,0
06 16 201606,37,015,3,5,Bertie County                 ,2,2,416917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,37,025,3,5,Cabarrus County               ,134,134,18007320,0,0,0,0,0,0,0,0,0,134,134,18007320,0,0,0,0,0,0,0,0,0
06 16 201606,37,033,3,5,Caswell County                ,5,5,1910000,0,0,0,0,0,0,0,0,0,5,5,1910000,0,0,0,0,0,0,0,0,0
06 16 201606,37,037,3,5,Chatham County                ,86,86,25132281,0,0,0,0,0,0,0,0,0,86,86,25132281,0,0,0,0,0,0,0,0,0
06 16 201606,37,051,3,5,Cumberland County             ,42,42,7397722,0,0,0,0,0,0,0,0,0,41,41,7085321,0,0,0,0,0,0,0,0,0
06 16 201606,37,053,3,5,Currituck County              ,24,24,7852136,0,0,0,0,0,0,0,0,0,24,24,7852136,0,0,0,0,0,0,0,0,0
06 16 201606,37,059,3,5,Davie County                  ,9,9,1383600,0,0,0,0,0,0,0,0,0,9,9,1383600,0,0,0,0,0,0,0,0,0
06 16 201606,37,063,3,5,Durham County                 ,186,186,34663784,0,0,0,0,0,0,0,0,0,186,186,34663784,0,0,0,0,0,0,0,0,0
06 16 201606,37,069,3,5,Franklin County               ,33,33,5810502,0,0,0,0,0,0,0,0,0,33,33,5810502,0,0,0,0,0,0,0,0,0
06 16 201606,37,071,3,5,Gaston County                 ,95,95,22603099,0,0,0,0,0,0,0,0,0,95,95,22603099,0,0,0,0,0,0,0,0,0
06 16 201606,37,081,3,5,Guilford County               ,123,123,37955149,0,0,0,0,0,0,6,192,24918352,95,95,31362971,0,0,0,0,0,0,5,177,23352302
06 16 201606,37,089,3,5,Henderson County              ,60,60,10674069,0,0,0,0,0,0,5,80,5136326,60,60,10674069,0,0,0,0,0,0,5,80,5136326
06 16 201606,37,093,3,5,Hoke County                   ,14,14,3189995,0,0,0,0,0,0,0,0,0,14,14,3189995,0,0,0,0,0,0,0,0,0
06 16 201606,37,097,3,5,Iredell County                ,114,114,29860991,0,0,0,0,0,0,0,0,0,114,114,29860991,0,0,0,0,0,0,0,0,0
06 16 201606,37,101,3,5,Johnston County               ,166,166,29181728,0,0,0,0,0,0,1,5,275000,163,163,28754455,0,0,0,0,0,0,1,5,275000
06 16 201606,37,105,3,5,Lee County                    ,8,8,1721945,0,0,0,0,0,0,0,0,0,8,8,1721945,0,0,0,0,0,0,0,0,0
06 16 201606,37,119,3,5,Mecklenburg County            ,714,714,162689753,0,0,0,0,0,0,1,24,2408494,714,714,162689753,0,0,0,0,0,0,1,24,2408494
06 16 201606,37,133,3,5,Onslow County                 ,54,54,7665922,0,0,0,0,0,0,0,0,0,51,51,7111196,0,0,0,0,0,0,0,0,0
06 16 201606,37,135,3,5,Orange County                 ,25,25,7532400,0,0,0,1,4,563438,0,0,0,25,25,7532400,0,0,0,1,4,563438,0,0,0
06 16 201606,37,145,3,5,Person County                 ,7,7,2289595,0,0,0,0,0,0,0,0,0,7,7,2289595,0,0,0,0,0,0,0,0,0
06 16 201606,37,151,3,5,Randolph County               ,35,35,7396607,0,0,0,0,0,0,0,0,0,35,35,7396607,0,0,0,0,0,0,0,0,0
06 16 201606,37,157,3,5,Rockingham County             ,12,12,3250010,0,0,0,0,0,0,0,0,0,11,11,3101005,0,0,0,0,0,0,0,0,0
06 16 201606,37,179,3,5,Union County                  ,176,176,37349518,0,0,0,0,0,0,0,0,0,176,176,37349518,0,0,0,0,0,0,0,0,0
06 16 201606,37,181,3,5,Vance County                  ,3,3,233480,0,0,0,0,0,0,0,0,0,3,3,233480,0,0,0,0,0,0,0,0,0
06 16 201606,37,183,3,5,Wake County                   ,709,709,161160242,1,2,340000,0,0,0,4,463,59916490,642,642,147669599,1,2,340000,0,0,0,4,463,59916490
06 16 201606,37,195,3,5,Wilson County                 ,7,7,1347193,0,0,0,0,0,0,0,0,0,7,7,1347193,0,0,0,0,0,0,0,0,0
06 16 201606,39,007,2,3,Ashtabula County              ,7,7,1281428,2,4,320600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,39,015,2,3,Brown County                  ,7,7,1115308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,39,017,2,3,Butler County                 ,73,73,16039908,0,0,0,0,0,0,0,0,0,73,73,16039908,0,0,0,0,0,0,0,0,0
06 16 201606,39,025,2,3,Clermont County               ,38,38,7656897,0,0,0,2,6,388000,0,0,0,38,38,7656897,0,0,0,2,6,388000,0,0,0
06 16 201606,39,041,2,3,Delaware County               ,119,119,30664078,0,0,0,1,4,180000,4,23,1035000,119,119,30664078,0,0,0,1,4,180000,4,23,1035000
06 16 201606,39,049,2,3,Franklin County               ,175,175,46867881,0,0,0,0,0,0,5,178,19163162,172,172,46163094,0,0,0,0,0,0,5,178,19163162
06 16 201606,39,055,2,3,Geauga County                 ,18,18,5882500,0,0,0,0,0,0,0,0,0,18,18,5882500,0,0,0,0,0,0,0,0,0
06 16 201606,39,085,2,3,Lake County                   ,49,49,11731081,0,0,0,0,0,0,0,0,0,42,42,10179478,0,0,0,0,0,0,0,0,0
06 16 201606,39,089,2,3,Licking County                ,30,30,7590727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,39,093,2,3,Lorain County                 ,64,64,11511303,1,2,236100,1,3,167500,0,0,0,13,13,2449023,0,0,0,0,0,0,0,0,0
06 16 201606,39,097,2,3,Madison County                ,2,2,424135,0,0,0,0,0,0,0,0,0,1,1,254135,0,0,0,0,0,0,0,0,0
06 16 201606,39,103,2,3,Medina County                 ,53,53,12822239,0,0,0,0,0,0,0,0,0,44,44,11436842,0,0,0,0,0,0,0,0,0
06 16 201606,39,117,2,3,Morrow County                 ,2,2,418852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,39,159,2,3,Union County                  ,39,39,9911281,0,0,0,0,0,0,0,0,0,39,39,9911281,0,0,0,0,0,0,0,0,0
06 16 201606,39,165,2,3,Warren County                 ,115,115,29881687,1,2,246308,0,0,0,1,6,1090627,115,115,29881687,1,2,246308,0,0,0,1,6,1090627
06 16 201606,40,001,3,7,Adair County                  ,1,1,192643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,40,017,3,7,Canadian County               ,20,20,5139322,1,2,220000,0,0,0,0,0,0,13,13,2968000,0,0,0,0,0,0,0,0,0
06 16 201606,40,021,3,7,Cherokee County               ,4,4,524953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,40,027,3,7,Cleveland County              ,60,60,13689024,3,6,664920,0,0,0,22,262,11494080,60,60,13689024,2,4,529920,0,0,0,22,262,11494080
06 16 201606,40,029,3,7,Coal County                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,40,037,3,7,Creek County                  ,11,11,1439000,0,0,0,0,0,0,0,0,0,11,11,1439000,0,0,0,0,0,0,0,0,0
06 16 201606,40,051,3,7,Grady County                  ,16,16,2665394,0,0,0,0,0,0,0,0,0,8,8,1000500,0,0,0,0,0,0,0,0,0
06 16 201606,40,055,3,7,Greer County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,40,081,3,7,Lincoln County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,40,083,3,7,Logan County                  ,0,0,0,1,2,75000,0,0,0,0,0,0,0,0,0,1,2,75000,0,0,0,0,0,0
06 16 201606,40,087,3,7,McClain County                ,38,38,7422189,0,0,0,0,0,0,0,0,0,25,25,5069584,0,0,0,0,0,0,0,0,0
06 16 201606,40,109,3,7,Oklahoma County               ,359,359,82256493,4,8,936000,0,0,0,0,0,0,345,345,79944476,4,8,936000,0,0,0,0,0,0
06 16 201606,40,111,3,7,Okmulgee County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,40,113,3,7,Osage County                  ,6,6,1148656,1,2,138000,0,0,0,3,24,1356522,6,6,1148656,1,2,138000,0,0,0,3,24,1356522
06 16 201606,40,117,3,7,Pawnee County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,40,131,3,7,Rogers County                 ,40,40,6126907,0,0,0,0,0,0,0,0,0,40,40,6126907,0,0,0,0,0,0,0,0,0
06 16 201606,40,143,3,7,Tulsa County                  ,233,233,56204406,1,2,272104,0,0,0,0,0,0,232,232,56141406,1,2,272104,0,0,0,0,0,0
06 16 201606,40,145,3,7,Wagoner County                ,45,45,6904499,0,0,0,0,0,0,0,0,0,45,45,6904499,0,0,0,0,0,0,0,0,0
06 16 201606,41,000,4,9,Oregon Balance of State       ,15,15,2196652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,41,005,4,9,Clackamas County              ,132,132,37798281,2,4,739650,0,0,0,4,60,4770438,125,125,36229422,2,4,739650,0,0,0,4,60,4770438
06 16 201606,41,019,4,9,Douglas County                ,27,27,6763656,0,0,0,0,0,0,0,0,0,27,27,6763656,0,0,0,0,0,0,0,0,0
06 16 201606,41,025,4,9,Harney County                 ,1,1,202093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,41,035,4,9,Klamath County                ,7,7,1946039,0,0,0,0,0,0,0,0,0,7,7,1946039,0,0,0,0,0,0,0,0,0
06 16 201606,41,051,4,9,Multnomah County              ,155,155,42956409,16,32,6124950,1,4,413543,4,83,7834790,155,155,42956409,16,32,6124950,1,4,413543,4,83,7834790
06 16 201606,41,067,4,9,Washington County             ,152,152,51151379,4,8,1252953,0,0,0,3,16,2863421,150,150,50579366,4,8,1252953,0,0,0,3,16,2863421
06 16 201606,41,071,4,9,Yamhill County                ,34,34,9395162,0,0,0,0,0,0,0,0,0,30,30,8614088,0,0,0,0,0,0,0,0,0
06 16 201606,42,001,1,2,Adams County                  ,39,39,20921690,0,0,0,0,0,0,0,0,0,39,39,20921690,0,0,0,0,0,0,0,0,0
06 16 201606,42,017,1,2,Bucks County                  ,112,112,20219783,0,0,0,2,8,816000,2,75,2945860,63,63,10128083,0,0,0,2,8,816000,2,75,2945860
06 16 201606,42,029,1,2,Chester County                ,100,100,18894786,0,0,0,2,7,746000,0,0,0,77,77,14224451,0,0,0,1,4,446000,0,0,0
06 16 201606,42,037,1,2,Columbia County               ,6,6,1207847,0,0,0,0,0,0,1,5,782273,2,2,427000,0,0,0,0,0,0,0,0,0
06 16 201606,42,041,1,2,Cumberland County             ,66,66,12545401,0,0,0,0,0,0,1,5,251062,50,50,9135664,0,0,0,0,0,0,0,0,0
06 16 201606,42,043,1,2,Dauphin County                ,55,55,12187532,0,0,0,0,0,0,1,5,300000,19,19,3505230,0,0,0,0,0,0,0,0,0
06 16 201606,42,045,1,2,Delaware County               ,35,35,8500526,0,0,0,0,0,0,0,0,0,11,11,3204568,0,0,0,0,0,0,0,0,0
06 16 201606,42,055,1,2,Franklin County               ,35,35,7099982,0,0,0,0,0,0,0,0,0,33,33,6749115,0,0,0,0,0,0,0,0,0
06 16 201606,42,091,1,2,Montgomery County             ,87,87,18256317,1,2,180000,1,3,439607,5,276,49003458,62,62,13011573,0,0,0,0,0,0,1,250,45951525
06 16 201606,42,093,1,2,Montour County                ,4,4,802047,0,0,0,0,0,0,2,12,600000,1,1,261756,0,0,0,0,0,0,2,12,600000
06 16 201606,42,099,1,2,Perry County                  ,5,5,1286003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,42,101,1,2,Philadelphia County           ,125,125,32719438,5,10,1328617,26,96,12411648,7,79,10659233,125,125,32719438,5,10,1328617,26,96,12411648,7,79,10659233
06 16 201606,42,103,1,2,Pike County                   ,5,5,1250601,0,0,0,0,0,0,0,0,0,3,3,742000,0,0,0,0,0,0,0,0,0
06 16 201606,44,001,1,1,Bristol County                ,4,4,847353,0,0,0,0,0,0,0,0,0,2,2,410000,0,0,0,0,0,0,0,0,0
06 16 201606,44,003,1,1,Kent County                   ,12,12,1995684,1,2,400000,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
06 16 201606,44,005,1,1,Newport County                ,7,7,2220840,0,0,0,0,0,0,0,0,0,7,7,2220840,0,0,0,0,0,0,0,0,0
06 16 201606,44,007,1,1,Providence County             ,35,35,4118066,1,2,215630,0,0,0,0,0,0,29,29,3492565,0,0,0,0,0,0,0,0,0
06 16 201606,44,009,1,1,Washington County             ,18,18,5590290,0,0,0,1,3,525000,0,0,0,15,15,4793360,0,0,0,0,0,0,0,0,0
06 16 201606,45,003,3,5,Aiken County                  ,67,67,16359793,1,2,209118,0,0,0,1,48,5997912,55,55,14263356,1,2,209118,0,0,0,1,48,5997912
06 16 201606,45,009,3,5,Bamberg County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,45,015,3,5,Berkeley County               ,145,145,39624106,0,0,0,0,0,0,1,47,1108828,43,43,10136924,0,0,0,0,0,0,0,0,0
06 16 201606,45,017,3,5,Calhoun County                ,6,6,511000,0,0,0,0,0,0,0,0,0,6,6,511000,0,0,0,0,0,0,0,0,0
06 16 201606,45,019,3,5,Charleston County             ,254,254,64337585,0,0,0,0,0,0,3,86,5833990,145,145,39111164,0,0,0,0,0,0,0,0,0
06 16 201606,45,035,3,5,Dorchester County             ,58,58,14771000,0,0,0,0,0,0,0,0,0,57,57,14663500,0,0,0,0,0,0,0,0,0
06 16 201606,45,037,3,5,Edgefield County              ,15,15,2632634,0,0,0,0,0,0,0,0,0,15,15,2632634,0,0,0,0,0,0,0,0,0
06 16 201606,45,039,3,5,Fairfield County              ,3,3,639875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,45,045,3,5,Greenville County             ,314,314,81151979,0,0,0,0,0,0,0,0,0,314,314,81151979,0,0,0,0,0,0,0,0,0
06 16 201606,45,051,3,5,Horry County                  ,394,394,65708044,17,34,1643340,1,4,777388,4,32,2153991,363,363,58366885,17,34,1643340,1,4,777388,2,22,1307920
06 16 201606,45,055,3,5,Kershaw County                ,19,19,2498161,0,0,0,0,0,0,0,0,0,19,19,2498161,0,0,0,0,0,0,0,0,0
06 16 201606,45,059,3,5,Laurens County                ,7,7,1284850,0,0,0,0,0,0,0,0,0,7,7,1284850,0,0,0,0,0,0,0,0,0
06 16 201606,45,063,3,5,Lexington County              ,159,159,40971689,0,0,0,0,0,0,1,17,1166950,10,10,1704485,0,0,0,0,0,0,0,0,0
06 16 201606,45,077,3,5,Pickens County                ,28,28,7858433,0,0,0,0,0,0,11,266,4146026,17,17,5853680,0,0,0,0,0,0,10,250,2582110
06 16 201606,45,079,3,5,Richland County               ,165,165,21577028,2,4,449814,0,0,0,3,55,3379838,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,45,081,3,5,Saluda County                 ,4,4,1157100,0,0,0,0,0,0,0,0,0,4,4,1157100,0,0,0,0,0,0,0,0,0
06 16 201606,45,085,3,5,Sumter County                 ,31,31,4354727,0,0,0,0,0,0,1,30,3200000,31,31,4354727,0,0,0,0,0,0,1,30,3200000
06 16 201606,45,091,3,5,York County                   ,183,183,53945116,0,0,0,0,0,0,3,43,4068393,74,74,24168583,0,0,0,0,0,0,0,0,0
06 16 201606,46,007,2,4,Bennett County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,46,055,2,4,Haakon County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,46,071,2,4,Jackson County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,46,111,2,4,Sanborn County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,47,001,3,6,Anderson County               ,14,14,2652393,0,0,0,0,0,0,0,0,0,14,14,2652393,0,0,0,0,0,0,0,0,0
06 16 201606,47,015,3,6,Cannon County                 ,2,2,252380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,47,021,3,6,Cheatham County               ,14,14,3334830,0,0,0,0,0,0,0,0,0,14,14,3334830,0,0,0,0,0,0,0,0,0
06 16 201606,47,037,3,6,Davidson County               ,324,324,81675551,0,0,0,2,8,100988,4,307,30808647,324,324,81675551,0,0,0,2,8,100988,4,307,30808647
06 16 201606,47,043,3,6,Dickson County                ,22,22,4253136,0,0,0,0,0,0,0,0,0,22,22,4253136,0,0,0,0,0,0,0,0,0
06 16 201606,47,049,3,6,Fentress County               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06 16 201606,47,081,3,6,Hickman County                ,5,5,886991,0,0,0,0,0,0,0,0,0,5,5,886991,0,0,0,0,0,0,0,0,0
06 16 201606,47,093,3,6,Knox County                   ,136,136,29944454,0,0,0,0,0,0,0,0,0,136,136,29944454,0,0,0,0,0,0,0,0,0
06 16 201606,47,105,3,6,Loudon County                 ,25,25,5610792,0,0,0,0,0,0,0,0,0,17,17,4303167,0,0,0,0,0,0,0,0,0
06 16 201606,47,125,3,6,Montgomery County             ,116,116,17169185,3,6,210000,0,0,0,0,0,0,116,116,17169185,3,6,210000,0,0,0,0,0,0
06 16 201606,47,139,3,6,Polk County                   ,16,16,2881985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
