01 16 Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
01 16 Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
01 16  
01 16 201601,08,001,4,8,Adams County                  ,146,146,37649370,0,0,0,0,0,0,0,0,0,146,146,37649370,0,0,0,0,0,0,0,0,0
01 16 201601,08,005,4,8,Arapahoe County               ,112,112,27734545,0,0,0,0,0,0,2,402,49000702,110,110,25961488,0,0,0,0,0,0,2,402,49000702
01 16 201601,08,014,4,8,Broomfield County             ,41,41,14043851,0,0,0,1,4,533030,0,0,0,41,41,14043851,0,0,0,1,4,533030,0,0,0
01 16 201601,08,015,4,8,Chaffee County                ,5,5,1317411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,08,019,4,8,Clear Creek County            ,1,1,167994,0,0,0,0,0,0,0,0,0,1,1,167994,0,0,0,0,0,0,0,0,0
01 16 201601,08,031,4,8,Denver County                 ,161,161,43023175,1,2,355385,0,0,0,3,185,24461848,161,161,43023175,1,2,355385,0,0,0,3,185,24461848
01 16 201601,08,035,4,8,Douglas County                ,134,134,40243594,0,0,0,0,0,0,0,0,0,127,127,37976096,0,0,0,0,0,0,0,0,0
01 16 201601,08,039,4,8,Elbert County                 ,8,8,1942859,0,0,0,0,0,0,0,0,0,8,8,1942859,0,0,0,0,0,0,0,0,0
01 16 201601,08,041,4,8,El Paso County                ,198,198,82058737,0,0,0,0,0,0,2,11,1390956,198,198,82058737,0,0,0,0,0,0,2,11,1390956
01 16 201601,08,047,4,8,Gilpin County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,08,069,4,8,Larimer County                ,76,76,20622794,0,0,0,0,0,0,0,0,0,76,76,20622794,0,0,0,0,0,0,0,0,0
01 16 201601,08,077,4,8,Mesa County                   ,37,37,8981703,0,0,0,0,0,0,1,5,335747,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,08,093,4,8,Park County                   ,8,8,1155086,0,0,0,0,0,0,0,0,0,8,8,1155086,0,0,0,0,0,0,0,0,0
01 16 201601,08,101,4,8,Pueblo County                 ,10,10,1359623,0,0,0,0,0,0,0,0,0,10,10,1359623,0,0,0,0,0,0,0,0,0
01 16 201601,08,119,4,8,Teller County                 ,4,4,989294,0,0,0,0,0,0,0,0,0,4,4,989294,0,0,0,0,0,0,0,0,0
01 16 201601,09,001,1,1,Fairfield County              ,50,50,29904079,0,0,0,0,0,0,1,5,299107,31,31,13960658,0,0,0,0,0,0,0,0,0
01 16 201601,09,003,1,1,Hartford County               ,24,24,4700289,0,0,0,0,0,0,1,16,1650000,23,23,4488592,0,0,0,0,0,0,1,16,1650000
01 16 201601,09,007,1,1,Middlesex County              ,6,6,2037211,0,0,0,1,3,250000,0,0,0,3,3,716240,0,0,0,1,3,250000,0,0,0
01 16 201601,09,013,1,1,Tolland County                ,5,5,1103289,0,0,0,0,0,0,1,16,1200000,3,3,682790,0,0,0,0,0,0,1,16,1200000
01 16 201601,10,001,3,5,Kent County                   ,72,72,10379608,0,0,0,0,0,0,0,0,0,72,72,10379608,0,0,0,0,0,0,0,0,0
01 16 201601,10,003,3,5,New Castle County             ,89,89,8110347,0,0,0,0,0,0,1,8,128000,86,86,7883169,0,0,0,0,0,0,0,0,0
01 16 201601,10,005,3,5,Sussex County                 ,178,178,27297387,3,6,699507,2,7,903750,2,29,1774876,178,178,27297387,3,6,699507,2,7,903750,2,29,1774876
01 16 201601,11,001,3,5,Washington  DC                ,30,30,6770046,2,4,439896,0,0,0,1,16,1515828,30,30,6770046,2,4,439896,0,0,0,1,16,1515828
